asset_id,serial_number,book_cost,purchase_date
A0001,MI1065133,440.29,2024-06-11
A0002,DP4731781,1759.64,2022-09-07
A0003,ZD1326773,155.59,2025-07-31
A0004,JM6474687,1437.19,2019-09-30
A0005,EG9805009,153.99,2026-07-06
A0006,RP0812191,1603.98,2023-06-13
A0007,AQ9399091,224.42,2026-04-27
A0008,QP4353462,991.37,2023-05-23
A0009,IN1079911,226.76,2021-12-11
A0010,IT5135427,1098.69,2020-08-28
A0011,HG8084124,205.82,2026-08-13
A0012,FQ4935348,189.04,2020-10-26
A0013,OQ1640052,490.16,2025-08-26
A0014,CX6801128,868.12,2022-10-28
A0015,RP2045053,2107.83,2020-10-07
A0016,AB8692322,1851.48,2022-03-17
A0017,EO6342160,991.56,2026-03-14
A0018,VR5433036,289.65,2026-02-27
A0019,HQ4586850,1222.28,2026-07-01
A0020,BM4019655,707.91,2026-06-20
A0021,ZI9340608,174.8,2020-07-16
A0022,QH3561595,1293.16,2026-04-24
A0023,MA4656482,138.08,2021-10-31
A0024,TS2994680,193.4,2022-05-21
A0025,EY9577738,430.21,2025-03-25
A0026,WP2148951,128.04,2025-04-20
A0027,XE3200379,1476.07,2021-04-21
A0028,PS9367632,1883.37,2025-12-06
A0029,JP1632870,1651.12,2024-12-26
A0030,NU2788957,474.28,2020-07-31
A0031,OR8727743,908.89,2022-09-19
A0033,AV2362316,775.37,2020-04-17
A0034,EA3669096,1705.2,2022-08-22
A0035,OR6688937,992.18,2021-10-27
A0036,BZ5627298,1495.77,2019-12-08
A0037,YU1627204,196.36,2024-05-15
A0038,VI6464170,249.75,2022-01-07
A0039,NJ3100330,476.11,2026-05-24
A0040,MM1937452,1865.14,2023-01-17
A0041,RY2419049,221.26,2024-10-04
A0042,YK1931491,1724.57,2024-09-25
A0043,FG6518506,206.55,2022-02-28
A0044,ZI7262849,997.82,2022-04-07
A0045,PW9453147,125.49,2022-12-26
A0046,NW6507527,223.53,2024-01-02
A0047,PU9480831,1718.34,2022-02-10
A0049,VJ9578856,1397.3,2021-11-15
A0050,HV4443135,256.82,2024-08-25
A0051,MS2337498,165.65,2025-01-24
A0052,IR4352408,478.73,2025-07-23
A0053,EE4271094,1040.92,2020-02-11
A0054,EK0471167,229.48,2021-01-08
A0055,WA2941318,1575.9,2020-02-09
A0056,BT3867749,368.1,2025-04-07
A0057,LJ1334123,165.24,2020-02-25
A0058,TS7974034,235.46,2019-10-01
A0059,OP3493618,250.42,2022-11-28
A0060,SC2102499,235.13,2021-08-03
A0061,MC6488771,330.41,2024-07-20
A0062,BW9401399,228.62,2024-11-14
A0063,LB0278742,1782.33,2021-08-13
A0064,KV1756551,198.88,2023-03-04
A0065,UH6807154,1911.95,2023-03-14
A0066,HX8087603,1493.4,2022-07-24
A0069,TR1712748,1827.61,2025-08-14
A0070,MG7378263,865.91,2023-02-09
A0071,SU1465840,166.18,2020-09-07
A0072,JW7278755,177.9,2023-11-03
A0073,CU5339636,254.51,2022-12-01
A0074,LV6627028,143.88,2024-08-31
A0075,PJ7187026,384.11,2025-11-06
A0076,YU4596158,1778.79,2025-03-14
A0077,OV7809134,1735.57,2025-12-10
A0078,YD1724005,165.47,2026-07-30
A0079,LF2386922,413.2,2022-05-10
A0080,DQ3792374,103.88,2022-05-29
A0081,LT7482175,1880.5,2026-01-08
A0082,PY4743671,838.84,2022-09-13
A0083,MV4064090,208.73,2023-10-03
A0084,QR4395339,2107.55,2026-01-22
A0085,XU2104709,1523.81,2025-02-06
A0086,HG5623285,1351.36,2026-02-05
A0087,JW4745171,2004.45,2025-07-17
A0088,IH6851604,1179.04,2025-10-01
A0089,BN4965137,283.54,2024-06-09
A0090,IC9317461,1525.52,2023-08-29
A0092,NA8692617,247.88,2024-12-06
A0093,RX5377351,1213.76,2021-09-09
A0094,FQ5064317,189.63,2026-07-29
A0095,EW0053293,238.36,2024-03-16
A0096,II3529042,299.33,2023-11-01
A0097,BL0205395,257.32,2020-12-14
A0098,GL6811775,191.84,2020-08-13
A0099,EZ9084700,403.6,2023-04-04
A0100,IR7115921,229.62,2020-06-26
A0101,MB5698478,165.93,2023-10-30
A0102,DZ8367365,120.52,2024-08-22
A0103,FF6545271,168.14,2020-05-25
A0104,VQ5280988,1968.75,2020-05-28
A0105,KG6049451,864.12,2022-03-16
A0106,KO3158514,221.26,2024-04-29
A0107,LR9980940,451.06,2025-08-24
A0108,EJ5502296,2131.87,2021-11-22
A0109,KX1836675,963.85,2026-07-13
