asset_id,serial_number,asset_type,purchase_date,cost,os_version,status,location,owner_emp_id,warranty_expiry,last_audit_date
A0001,MI1065133,Monitor,2024-06-11,440.29,,Retired,Building B,46.0,2025-06-11,2025-01-28
A0002,DP4731781,Laptop,2022-09-07,1759.64,macOS 13,In Use,Building B,56.0,2023-09-07,2026-09-24
A0003,ZD1326773,Docking Station,2025-07-31,155.59,,Retired,Building B,24.0,2028-07-30,2024-03-23
A0004,JM6474687,Desktop,2019-09-30,1437.19,Windows 10,In Storage,Building B,11.0,2024-09-28,2024-08-15
A0005,EG9805009,Docking Station,2026-07-06,153.99,,In Storage,Warehouse,54.0,2027-07-06,2026-06-28
A0006,RP0812191,Desktop,2023-06-13,1603.98,macOS 13,Pending Disposal,Warehouse,5.0,2026-06-12,2024-12-10
A0007,AQ9399091,Monitor,2026-04-27,224.42,,Pending Disposal,Remote,57.0,2031-04-26,2025-06-25
A0008,QP4353462,Desktop,2023-05-23,991.37,Windows 11,Retired,Remote,58.0,2028-05-21,2024-08-18
A0009,IN1079911,Monitor,2021-12-11,226.76,,In Storage,Remote,6.0,2022-12-11,2025-04-01
A0010,IT5135427,Laptop,2020-08-28,1098.69,Windows 11,Pending Disposal,Building A,25.0,2025-08-27,2024-08-21
A0011,HG8084124,Docking Station,2026-08-13,205.82,,In Use,Building A,44.0,2029-08-12,2025-12-16
A0012,HG8084124,Monitor,2020-10-26,189.04,,Pending Disposal,Building B,30.0,2021-10-26,2026-06-13
A0013,OQ1640052,Monitor,2025-08-26,490.16,,In Storage,Building A,56.0,2028-08-25,2024-03-20
A0014,CX6801128,Desktop,2022-10-28,868.12,Windows 11,In Use,Warehouse,32.0,2023-10-28,2025-06-24
A0015,RP2045053,Laptop,2020-10-07,2107.83,macOS 13,In Storage,Building A,16.0,2021-10-07,2025-09-24
A0016,AB8692322,Laptop,2022-03-17,1851.48,Windows 10,In Storage,Building B,,2027-03-16,2024-04-08
A0017,EO6342160,Desktop,2026-03-14,991.56,macOS 15,Pending Disposal,Building B,60.0,2029-03-13,2024-04-30
A0018,VR5433036,Monitor,2026-02-27,289.65,,Retired,Remote,58.0,2031-02-26,2026-04-29
A0019,VR5433036,Laptop,2026-07-01,1222.28,Windows 10,Retired,Building A,38.0,2029-06-30,2024-04-07
A0020,BM4019655,Desktop,2026-06-20,707.91,Windows 10,In Storage,Building A,58.0,2027-06-20,2026-09-07
A0021,ZI9340608,Monitor,2020-07-16,174.8,,In Storage,Warehouse,43.0,2025-07-15,2025-10-16
A0022,QH3561595,Desktop,2026-04-24,1293.16,macOS 15,Pending Disposal,Building B,51.0,2031-04-23,2025-11-21
A0023,MA4656482,Docking Station,2021-10-31,138.08,,In Use,Remote,23.0,2026-10-30,2025-09-22
A0024,TS2994680,Docking Station,2022-05-21,193.4,,In Use,Building A,4.0,2027-05-20,2024-05-12
A0025,EY9577738,Monitor,2025-03-25,430.21,,In Use,Building B,13.0,2028-03-24,2026-06-08
A0026,WP2148951,Docking Station,2025-04-20,128.04,,In Storage,Warehouse,30.0,2028-04-19,2025-10-01
A0027,XE3200379,Laptop,2021-04-21,1476.07,macOS 15,In Use,Building A,42.0,2022-04-21,2025-02-05
A0028,PS9367632,Laptop,2025-12-06,2104.28,Windows 11,In Storage,Remote,32.0,2030-12-05,2023-10-01
A0029,JP1632870,Desktop,2024-12-26,1651.12,Windows 10,In Storage,Remote,1.0,2029-12-25,2026-06-26
A0030,NU2788957,Monitor,2020-07-31,474.28,,Pending Disposal,Warehouse,28.0,2025-07-30,2026-05-29
A0031,OR8727743,Desktop,2022-09-19,908.89,Windows 11,In Use,Building A,48.0,2025-09-18,2026-01-11
A0032,VU3471434,Laptop,2023-05-19,965.19,macOS 14,In Storage,Building A,33.0,2024-05-18,2026-05-30
A0033,AV2362316,Desktop,2020-04-17,775.37,Windows 10,In Storage,Remote,8.0,2023-04-17,2025-05-11
A0034,EA3669096,Laptop,2022-08-22,1705.2,macOS 14,Retired,Warehouse,14.0,2025-08-21,2026-07-24
A0035,OR6688937,Desktop,2021-10-27,992.18,Windows 11,Retired,Remote,21.0,2022-10-27,2025-01-14
A0036,BZ5627298,Laptop,2019-12-08,1495.77,macOS 15,In Use,Building A,35.0,2022-12-07,2025-07-04
A0037,YU1627204,Monitor,2024-05-15,196.36,,Retired,Building A,57.0,2027-05-15,2024-05-13
A0038,VI6464170,Monitor,2022-01-07,249.75,,Pending Disposal,Warehouse,,2023-01-07,2023-11-21
A0039,VI6464170,Monitor,2026-05-24,476.11,,In Use,Building B,,2027-05-24,2024-06-12
A0040,MM1937452,Laptop,2023-01-17,1865.14,Windows 11,Retired,Warehouse,39.0,2026-01-16,2026-08-16
A0041,RY2419049,Monitor,2024-10-04,221.26,,Retired,Remote,17.0,2025-10-04,2024-12-02
A0042,YK1931491,Laptop,2024-09-25,1724.57,macOS 13,In Use,Building A,22.0,2027-09-25,2026-01-29
A0043,FG6518506,Monitor,2022-02-28,206.55,,Pending Disposal,Remote,36.0,2023-02-28,2025-01-12
A0044,ZI7262849,Laptop,2022-04-07,997.82,Windows 11,In Use,Warehouse,38.0,2025-04-06,2026-01-21
A0045,PW9453147,Docking Station,2022-12-26,125.49,,Retired,Warehouse,58.0,2023-12-26,2025-02-15
A0046,NW6507527,Monitor,2024-01-02,223.53,,In Storage,Building A,23.0,2028-12-31,2026-02-15
A0047,PU9480831,Desktop,2022-02-10,1718.34,Windows 11,In Storage,Building B,57.0,2027-02-09,2024-12-13
A0048,OZ3777014,Laptop,2023-08-14,1133.17,macOS 13,Pending Disposal,Building B,,2026-08-13,2025-10-22
A0049,VJ9578856,Laptop,2021-11-15,1397.3,Windows 10,Pending Disposal,Building B,13.0,2026-11-14,2024-09-21
A0050,HV4443135,Monitor,2024-08-25,256.82,,In Storage,Building B,2.0,2027-08-25,2025-05-04
A0051,MS2337498,Docking Station,2025-01-24,165.65,,In Use,Warehouse,23.0,2030-01-23,2026-09-03
A0052,IR4352408,Monitor,2025-07-23,478.73,,In Use,Warehouse,12.0,2028-07-22,2023-11-13
A0053,EE4271094,Laptop,2020-02-11,1040.92,macOS 14,Retired,Warehouse,28.0,2021-02-10,2025-01-19
A0054,EK0471167,Docking Station,2021-01-08,279.9,,In Storage,Warehouse,3.0,2026-01-07,2025-08-14
A0055,EK0471167,Laptop,2020-02-09,1575.9,macOS 15,In Storage,Warehouse,28.0,2021-02-08,2025-07-20
A0056,BT3867749,Monitor,2025-04-07,368.1,,In Use,Warehouse,33.0,2028-04-06,2025-06-09
A0057,LJ1334123,Docking Station,2020-02-25,165.24,,Retired,Building B,13.0,2025-02-23,2023-12-16
A0058,TS7974034,Docking Station,2019-10-01,235.46,,In Storage,Warehouse,26.0,2020-09-30,2025-11-03
A0059,OP3493618,Monitor,2022-11-28,250.42,,Pending Disposal,Warehouse,30.0,2027-11-27,2024-03-06
A0060,SC2102499,Docking Station,2021-08-03,235.13,,Pending Disposal,Building B,43.0,2022-08-03,2024-02-08
A0061,MC6488771,Monitor,2024-07-20,330.41,,Retired,Building A,53.0,2027-07-20,2026-05-26
A0062,BW9401399,Monitor,2024-11-14,228.62,,In Storage,Building B,2.0,2025-11-14,2025-09-30
A0063,LB0278742,Desktop,2021-08-13,1782.33,macOS 15,In Use,Remote,27.0,2024-08-12,2025-08-20
A0064,KV1756551,Docking Station,2023-03-04,198.88,,In Storage,Building B,42.0,2024-03-03,2024-12-19
A0065,UH6807154,Laptop,2023-03-14,1911.95,Windows 11,In Storage,Remote,4.0,2026-03-13,2026-08-23
A0066,HX8087603,Laptop,2022-07-24,1493.4,macOS 14,Retired,Remote,40.0,2027-07-23,2025-08-07
